Identifier,Stratum_j,Value_j,Taint_j
2,1,51.33922869,0
3,1,49.46971812,0
4,1,54.57810627,0
11,1,57.36149149,0
12,1,46.16023558,0
23,1,38.64322885,0
27,1,47.01612108,0
40,1,50.27325904,0
41,1,46.71798559,0
53,1,52.33402601,0
59,1,56.93817999,1
61,1,51.08596346,0
63,1,44.452892,0
88,1,50.60725296,0
93,1,51.55842049,0
99,1,50.29784632,0
101,1,54.87791461,0
105,1,57.47045753,0
109,1,47.60986017,0
112,1,47.79230155,0
123,1,51.29802517,1
129,1,53.43168071,0
138,1,54.17881734,0
148,1,55.31905382,0
153,1,58.68354281,0
158,1,45.51182115,0
159,1,45.37131829,0
173,1,57.33707174,0
182,1,38.41453009,1
199,1,47.75545889,0
202,2,98.76495675,0
216,2,96.96539064,1
221,2,97.05775942,0
222,2,94.28036529,0
225,2,89.01056579,0
228,2,87.81531072,0
230,2,107.542761,0
247,2,87.02043716,0
259,2,82.08343355,0
260,2,122.1956992,1
268,2,75.27432537,0
269,2,111.0610244,0
270,2,105.5132279,0
287,2,95.18980921,0
296,2,94.47233216,1
300,2,102.7360319,0
305,2,102.5552619,0
309,2,101.9620944,0
315,2,100.7717305,0
317,2,99.44350459,0
318,2,107.7033711,0
328,2,99.19728812,0
332,2,107.676251,0
341,2,111.2131766,0
359,2,98.4983739,1
360,2,87.43445729,0
370,2,100.3558521,1
388,2,95.46121208,0
395,2,103.840796,0
398,2,105.4386593,0
