Identifier,Stratum_j,Value_j,Taint_j
8,1,55.38777474,0
33,1,45.52124922,0
91,1,47.31711888,0
109,1,55.00796297,0
122,1,53.89320166,0
125,1,49.19894607,0
156,1,51.33120674,0
176,1,53.84109048,0
184,1,50.06927227,0
277,1,44.07525427,1
285,1,53.35420659,0
287,1,50.90244567,1
360,1,43.2022411,0
407,1,45.02625662,0
418,1,49.96203871,0
434,1,51.12436925,0
445,1,52.39678684,0
463,1,43.82939534,0
476,1,51.96448103,0
505,1,54.09711138,0
515,1,52.2936302,0
518,1,54.29715661,0
550,1,50.06947305,0
578,1,54.9398851,0
585,1,44.62746045,0
633,1,52.46009786,0
666,1,62.50016333,0
670,1,57.19563404,0
680,1,51.36827084,0
697,1,56.15869163,0
712,2,98.22646677,0
744,2,92.29249367,1
751,2,112.2594162,1
767,2,90.77248165,0
770,2,90.80283458,0
775,2,84.98716883,0
795,2,96.24382021,0
828,2,86.2222968,0
839,2,97.44942218,0
840,2,83.86131041,0
844,2,91.33626508,0
856,2,95.07458753,0
858,2,105.5743438,0
859,2,92.47727296,0
863,2,102.0974487,0
876,2,103.3853875,0
879,2,108.1504367,1
890,2,107.4937267,0
895,2,97.40701635,0
903,2,105.0641439,0
917,2,92.76480015,0
921,2,111.7654494,0
926,2,104.9868611,0
961,2,110.8870503,0
962,2,87.76251184,0
965,2,111.5844197,0
968,2,113.6215516,1
969,2,122.1466573,0
988,2,92.28526553,0
999,2,106.8651912,0
1040,3,14.75924622,0
1054,3,1.024441123,1
1071,3,9.154310613,0
1101,3,8.515963615,0
1108,3,12.8388065,0
1109,3,12.48757139,0
1137,3,13.70665109,0
1145,3,4.606475081,0
1176,3,17.39523047,0
1199,3,11.97656167,0
1208,4,15.56932347,0
1210,4,9.36475862,0
1217,4,13.57086235,0
1235,4,8.771288506,0
1246,4,10.16858682,0
1289,4,14.01644541,0
1290,4,13.12869437,0
1292,4,4.83446561,0
1297,4,2.336032105,0
1299,4,10.99511489,0
