Identifier,Stratum_j,Value_j,Taint_j
1,1,50.73535799,0
6,1,51.10121389,1
17,1,52.55867202,0
35,1,48.93390051,0
101,1,46.7082381,1
106,1,54.37404122,0
114,1,44.00113826,0
140,1,49.28446404,0
196,1,53.25729226,0
222,1,53.94281053,0
234,1,44.85667423,0
245,1,54.45413461,0
353,1,56.03105888,0
366,1,51.28831437,0
387,1,52.35462107,0
398,1,49.3971084,0
404,1,59.57274122,0
444,1,57.9388485,0
453,1,45.9145786,0
493,1,55.07996491,0
533,1,42.08800057,0
575,1,50.98028607,0
650,1,49.36876086,0
663,1,50.82231941,0
680,1,48.44670512,0
693,1,55.90920456,0
700,1,55.26043662,0
706,1,55.9300517,0
764,1,45.32842547,1
775,1,52.49413373,0
804,2,103.5469827,0
811,2,102.5252377,1
812,2,112.1292405,0
815,2,103.9171808,0
817,2,101.4476316,0
821,2,87.98985274,0
823,2,114.2799089,0
828,2,97.15019702,0
829,2,108.962665,0
831,2,119.3208553,0
832,2,119.1075691,0
834,2,95.56048376,1
838,2,106.4049167,0
839,2,107.4634285,0
840,2,115.7912464,0
844,2,99.84716148,0
856,2,90.2077443,0
859,2,99.80742857,0
866,2,102.7330911,0
868,2,102.0033536,0
871,2,109.3112147,0
872,2,106.1945038,0
874,2,99.76930185,0
876,2,113.7016758,0
880,2,105.6896643,0
884,2,101.1301253,0
886,2,103.4434633,0
889,2,97.04679987,1
892,2,105.9490763,1
897,2,100.0704833,0
902,3,9.21585958,0
918,3,5.019639361,0
928,3,8.585534736,0
931,3,13.43966752,0
934,3,15.74882725,0
935,3,4.197756578,0
936,3,5.988065349,0
940,3,11.53166163,0
943,3,12.74634457,0
950,3,3.462815756,0
964,4,17.96844213,0
970,4,10.63176492,0
973,4,11.03158229,0
980,4,8.154458076,0
983,4,6.365420886,0
986,4,8.075120601,0
987,4,11.1302919,0
989,4,11.5092057,1
994,4,14.51192654,0
1000,4,3.829678778,0
1005,5,11.83837593,0
1010,5,-0.962098878,0
1016,5,12.26364659,0
1018,5,4.113667172,0
1020,5,11.24050732,0
1028,5,16.00622618,0
1029,5,9.663627684,0
1041,5,3.36950994,0
1044,5,6.816646405,0
1048,5,16.99673205,0
1058,6,9.180357425,0
1059,6,15.83573754,0
1080,6,12.88140507,0
1081,6,9.470491589,0
1083,6,8.745458805,0
1095,6,3.032403073,0
1097,6,9.831099146,0
1098,6,9.480477038,0
1099,6,10.64069297,0
1100,6,7.258513163,0
