Identifier,Stratum_j,Value_j,Taint_j
54,1,50.81569417,0
71,1,55.17524889,0
101,1,39.09535373,0
108,1,43.87705676,0
109,1,51.55793325,0
137,1,55.59361446,0
145,1,49.07600136,0
176,1,50.90487427,1
210,1,36.42091619,0
246,1,42.20040314,0
323,1,56.60937034,0
341,1,52.23496391,0
393,1,54.49160586,0
399,1,51.57070804,0
412,1,53.03085201,0
438,1,50.841801,0
453,1,52.82637434,0
473,1,41.84548363,0
516,1,46.82603122,0
530,1,53.5625722,0
568,1,49.63710739,0
596,1,41.70949035,0
600,1,57.8385552,0
605,1,46.76386145,0
609,1,49.63204437,0
615,1,50.25047349,0
617,1,49.81019107,0
641,1,55.55614779,1
659,1,48.83569209,0
688,1,48.09960949,0
701,2,112.2309348,0
706,2,103.2152222,0
708,2,97.90412073,0
717,2,102.9746195,1
735,2,98.43049754,1
738,2,121.0018615,0
744,2,108.0726225,1
746,2,87.93869613,0
769,2,86.05827937,0
771,2,105.8375034,0
785,2,117.4275807,0
786,2,93.57466646,0
801,2,86.05645538,0
806,2,118.1721263,1
812,2,101.1532506,0
814,2,109.0916512,0
832,2,90.62606211,0
840,2,86.56946901,1
863,2,111.3951906,0
880,2,102.9879129,0
889,2,107.6248632,0
896,2,99.78412136,0
922,2,116.9083472,1
934,2,93.63138672,0
945,2,82.82025397,0
947,2,121.2623684,0
952,2,107.3313992,1
960,2,80.69147221,1
972,2,88.67105421,0
990,2,106.9594781,0
1038,3,0,0
1041,3,0,0
1053,3,0,0
1057,3,0,0
1066,3,0,0
1076,3,0,0
1087,3,0,0
1091,3,0,0
1094,3,0,0
1098,3,0,0
1101,4,0,0
1104,4,0,0
1107,4,0,0
1116,4,0,0
1144,4,0,0
1153,4,0,0
1165,4,0,0
1168,4,0,0
1191,4,0,0
1193,4,0,0
1218,5,0,0
1233,5,0,0
1244,5,0,0
1245,5,0,0
1250,5,0,0
1264,5,0,0
1275,5,0,0
1279,5,0,0
1280,5,0,0
1299,5,0,0
